ANYAll  Mortgage Marketshare Report. Prepared for: Skyward Techno.
"All Regions in AR ,AK"
2022 Q1
Rank by$ Volume
Lender Name,All,P,N,Total Value,Total Number,Total Value,Total Number,Total Value,Total Number,All,P,NP
CALIBER HOME LOANS INC,-,-,-,-,-,-,-,-,-,-,-,-
DENALI STATE BANK,-,-,-,-,-,-,-,-,-,-,-,-
USAA FSB,-,-,-,-,-,-,-,-,-,-,-,-
Miscellaneous Credit Union,-,-,-,-,-,-,-,-,-,-,-,-
USAA FSB,-,-,-,-,-,-,-,-,-,-,-,-
"All Regions in AR ,AK"
2022 Q3
Rank by$ Volume
Lender Name,All,P,N,Total Value,Total Number,Total Value,Total Number,Total Value,Total Number,All,P,NP
DENALI STATE BANK,-,-,-,-,-,-,-,-,-,-,-,-
Miscellaneous Other,-,-,-,-,-,-,-,-,-,-,-,-
Miscellaneous Other,-,-,-,-,-,-,-,-,-,-,-,-
Miscellaneous Credit Union,-,-,-,-,-,-,-,-,-,-,-,-
FLAGSTAR BANK FSB,-,-,-,-,-,-,-,-,-,-,-,-
